file,file_stem,journal_label,section_entropy
00-Metaphorical Traits of the Language of the COVID-19 Pandemic_ A Short-Term Diachronic Study.pdf,00-Metaphorical Traits of the Language of the COVID-19 Pandemic_ A Short-Term Diachronic Study,UNKNOWN,2.8929308482050113
00-On tokens and tokenisation_ a conjunctural approach to thinking GenAI in the Humanities classr.pdf,00-On tokens and tokenisation_ a conjunctural approach to thinking GenAI in the Humanities classr,UNKNOWN,2.356967635738849
00-The Pattern Nexus_ Postdigital Aesthetics_ Technoscience and Mysticism in Tom McCarthy_s The M.pdf,00-The Pattern Nexus_ Postdigital Aesthetics_ Technoscience and Mysticism in Tom McCarthy_s The M,UNKNOWN,2.2290208419328965
00-Toxic intimacies_ Tawada Y_ko_s The Emissary as Counternarrative to Japan_s nuclear and enviro.pdf,00-Toxic intimacies_ Tawada Y_ko_s The Emissary as Counternarrative to Japan_s nuclear and enviro,UNKNOWN,2.8371401492727077
00-_I made no sound at all__ Exploring Indonesia_s collective trauma in Saman and Enrico_s Love S.pdf,00-_I made no sound at all__ Exploring Indonesia_s collective trauma in Saman and Enrico_s Love S,UNKNOWN,2.4368570436842942
01-Apple Trees and Plastic Ducks_ Gardens as Post-pastoral Landscapes in Contemporary British Fic.pdf,01-Apple Trees and Plastic Ducks_ Gardens as Post-pastoral Landscapes in Contemporary British Fic,UNKNOWN,1.557343896870944
01-Hopegoing_ Animist metaphor as deferred hope in Yaa Gyasi_s Homegoing.pdf,01-Hopegoing_ Animist metaphor as deferred hope in Yaa Gyasi_s Homegoing,UNKNOWN,2.5231403940563943
01-Liberated territory_ on the poetry and pedagogy of Tongo Eisen-Martin.pdf,01-Liberated territory_ on the poetry and pedagogy of Tongo Eisen-Martin,UNKNOWN,1.9481759598839654
01-Mahb_bperest_ uranist and transvestite_ translating sexology in the Late Ottoman Empire and Ea.pdf,01-Mahb_bperest_ uranist and transvestite_ translating sexology in the Late Ottoman Empire and Ea,UNKNOWN,2.482563636449699
01-_The Origin of Everything__ Sex Against Social Convention in Sally Rooney_s Normal People and .pdf,01-_The Origin of Everything__ Sex Against Social Convention in Sally Rooney_s Normal People and ,UNKNOWN,1.7527638282433395
02-Jeanette Winterson_s The Gap of Time in the Caesura of the Time That is Left.pdf,02-Jeanette Winterson_s The Gap of Time in the Caesura of the Time That is Left,UNKNOWN,0.41722418443400555
02-Self-perception_ laws and identities. Restricting the relevance of psy knowledge among sex-dis.pdf,02-Self-perception_ laws and identities. Restricting the relevance of psy knowledge among sex-dis,UNKNOWN,2.7787637533058516
02-Slow comics_ resource extraction in graphic narrative.pdf,02-Slow comics_ resource extraction in graphic narrative,UNKNOWN,1.920207387368805
02-Spatiality_ Fugitivity_ and _Black Livingness_ in Harriet Jacobs_s Incidents in the Life of a .pdf,02-Spatiality_ Fugitivity_ and _Black Livingness_ in Harriet Jacobs_s Incidents in the Life of a ,UNKNOWN,2.371459768874394
02-To hope or to weep_ Slow hope in Rohan Chakravarty_s green humour series.pdf,02-To hope or to weep_ Slow hope in Rohan Chakravarty_s green humour series,UNKNOWN,1.3312012035349006
03-Beowulf_ the Nibelungenlied_ and the Medieval Germanic Courtier Narrative.pdf,03-Beowulf_ the Nibelungenlied_ and the Medieval Germanic Courtier Narrative,UNKNOWN,3.0714024270878433
03-Ethics and Identity in David Albahari_s Bait_ A Ric_urian Reading.pdf,03-Ethics and Identity in David Albahari_s Bait_ A Ric_urian Reading,UNKNOWN,2.819191043523766
03-Neuralink and the rise of psychopolitical governmentality.pdf,03-Neuralink and the rise of psychopolitical governmentality,UNKNOWN,3.419422231133836
03-The cultural politics of Canto 49 by Ezra Pound. A historical re-evaluation.pdf,03-The cultural politics of Canto 49 by Ezra Pound. A historical re-evaluation,UNKNOWN,2.0832748491355737
03-Transnational hauntings_ A reparative reading of ghosts and weak rootedness in Zen Cho_s ____ .pdf,03-Transnational hauntings_ A reparative reading of ghosts and weak rootedness in Zen Cho_s ____ ,UNKNOWN,2.3134553936136735
04-Hieroglyphic Matter in Bacon_s New Atlantis.pdf,04-Hieroglyphic Matter in Bacon_s New Atlantis,UNKNOWN,2.0827439521459516
04-Living in Endtimes_ Countersentimental Domesticity in the Age of Uncertainty.pdf,04-Living in Endtimes_ Countersentimental Domesticity in the Age of Uncertainty,UNKNOWN,2.5215137458684196
04-The alienation of Valerii Pereleshin.pdf,04-The alienation of Valerii Pereleshin,UNKNOWN,0.8013628896290323
04-_Let us tend this garden together__ Postcolonial time travel in Ng Yi-Sheng_s _Garden_.pdf,04-_Let us tend this garden together__ Postcolonial time travel in Ng Yi-Sheng_s _Garden_,UNKNOWN,2.5334233651309215
04-_We_re on a journey__ antiracist discourse in British development and humanitarian INGOs.pdf,04-_We_re on a journey__ antiracist discourse in British development and humanitarian INGOs,UNKNOWN,3.1522456047786713
05-Ante-victimhood of Atomic Bombing_ Inter-imperiality and Gender in Jackie Copleton_s A Diction.pdf,05-Ante-victimhood of Atomic Bombing_ Inter-imperiality and Gender in Jackie Copleton_s A Diction,UNKNOWN,2.7926630811361046
05-Crisis Extraordinariness_ Vibrant Relations in Michael Christie_s Greenwood.pdf,05-Crisis Extraordinariness_ Vibrant Relations in Michael Christie_s Greenwood,UNKNOWN,2.721509904081821
05-Indeed_ This Is How It Was_ Brother_ by Ali Shariati.pdf,05-Indeed_ This Is How It Was_ Brother_ by Ali Shariati,UNKNOWN,1.096408586047547
05-Network_ed_ confession_ disidentification_ digitality_ and the politics of self-representation.pdf,05-Network_ed_ confession_ disidentification_ digitality_ and the politics of self-representation,UNKNOWN,2.7849952287571864
05-Technical imagining_ dispelling AI figments of the generative machine learning imagination.pdf,05-Technical imagining_ dispelling AI figments of the generative machine learning imagination,UNKNOWN,2.4298877824277216
06-Breaking the line_ Wong May_s postcolonial and exophonic Chinese mobilities.pdf,06-Breaking the line_ Wong May_s postcolonial and exophonic Chinese mobilities,UNKNOWN,2.115720405948758
06-Orbital Gaze_ Earthly Wounds_ Reading Samantha Harvey_s Orbital as Planetary Fiction.pdf,06-Orbital Gaze_ Earthly Wounds_ Reading Samantha Harvey_s Orbital as Planetary Fiction,UNKNOWN,2.5390351626046126
06-The Narrative Perfect and Past Perfective_ Evidence from the Diary of Samuel Pepys.pdf,06-The Narrative Perfect and Past Perfective_ Evidence from the Diary of Samuel Pepys,UNKNOWN,3.286146418314328
06-_A pale view of self__ the limits of knowing and mourning in Kazuo Ishiguro_s A Pale View of H.pdf,06-_A pale view of self__ the limits of knowing and mourning in Kazuo Ishiguro_s A Pale View of H,UNKNOWN,2.332084325528705
06-_Verbi-voco-visual explorations__ information and the object of poetry between McLuhan and Ben.pdf,06-_Verbi-voco-visual explorations__ information and the object of poetry between McLuhan and Ben,UNKNOWN,1.7559458638774463
07-Affect_ Evolution_ and Reparation_ AI Self-Sacrifice in Klara and the Sun.pdf,07-Affect_ Evolution_ and Reparation_ AI Self-Sacrifice in Klara and the Sun,UNKNOWN,2.106440309166723
07-Communities of Writing_ The Main Scribes of National Library of Wales_ Brogyntyn ii.1.pdf,07-Communities of Writing_ The Main Scribes of National Library of Wales_ Brogyntyn ii.1,UNKNOWN,3.0721741779625455
07-Grossed out by environmental breakdown_ Disgust as a literary device within Capitalocene cri-f.pdf,07-Grossed out by environmental breakdown_ Disgust as a literary device within Capitalocene cri-f,UNKNOWN,2.4276726589465905
07-Shifting the ground beneath Singapore literature_ Archipelagic thinking in Isa Kamari_s Rawa a.pdf,07-Shifting the ground beneath Singapore literature_ Archipelagic thinking in Isa Kamari_s Rawa a,UNKNOWN,2.1602366388453755
07-_Where is the friend_s house___ Intimacy_ Spatiality_ and _post-_Ottoman Legacies in Sait Faik.pdf,07-_Where is the friend_s house___ Intimacy_ Spatiality_ and _post-_Ottoman Legacies in Sait Faik,UNKNOWN,1.8778264647120535
08-An alter-native cultural imaginary of Brunei Darussalam in Tina Afiqah_s The Bubble Princess a.pdf,08-An alter-native cultural imaginary of Brunei Darussalam in Tina Afiqah_s The Bubble Princess a,UNKNOWN,2.2906923654745315
08-Form After the Internet Novel_ The Hermeneutics of Digital Ekphrasis.pdf,08-Form After the Internet Novel_ The Hermeneutics of Digital Ekphrasis,UNKNOWN,0.2977451668662188
08-Masculinity_ the Environment and the Phenomenology of the Body in Beowulf.pdf,08-Masculinity_ the Environment and the Phenomenology of the Body in Beowulf,UNKNOWN,2.400270978765661
08-The Jim Crow railroad bildungsroman.pdf,08-The Jim Crow railroad bildungsroman,UNKNOWN,2.535561589413922
08-Women in the closet in Peyami Safa_ homonationalism as an analytical category to read early re.pdf,08-Women in the closet in Peyami Safa_ homonationalism as an analytical category to read early re,UNKNOWN,1.7269833821448497
09-An independent and unconventional character_ Fikriye_ _Everybody_s Woman_.pdf,09-An independent and unconventional character_ Fikriye_ _Everybody_s Woman_,UNKNOWN,2.4832209550907156
09-Cohesion_ Exile_ Return_ Non-Human Narrative and the Shape of Diaspora Community in Never Let .pdf,09-Cohesion_ Exile_ Return_ Non-Human Narrative and the Shape of Diaspora Community in Never Let ,UNKNOWN,2.4649824934143427
09-Louise Gl_ck_s Averno_ A Feminist Reception of the Myth of Persephone.pdf,09-Louise Gl_ck_s Averno_ A Feminist Reception of the Myth of Persephone,UNKNOWN,2.8886213680473998
09-Of barren lands and broken promises_ Writing social change in Kourouma_s Suns of Independence .pdf,09-Of barren lands and broken promises_ Writing social change in Kourouma_s Suns of Independence ,UNKNOWN,1.6699981033059026
09-War_ widowhood_ and maternal grief in Jacob_s Room.pdf,09-War_ widowhood_ and maternal grief in Jacob_s Room,UNKNOWN,2.806940996709498
10-Critique of Australia_s Bicentennial Moment in John Forbes_s The Stunned Mullet.pdf,10-Critique of Australia_s Bicentennial Moment in John Forbes_s The Stunned Mullet,UNKNOWN,3.0248221368822845
10-Manners_ Morals_ and Happiness_ Negotiating Balance in Sense and Sensibility.pdf,10-Manners_ Morals_ and Happiness_ Negotiating Balance in Sense and Sensibility,UNKNOWN,1.9378587547120714
10-Scaling up the Capitalocene_ paratexts_ storyworld_ and climate change in New York 2140.pdf,10-Scaling up the Capitalocene_ paratexts_ storyworld_ and climate change in New York 2140,UNKNOWN,2.5419927219738385
10-THE _DERMOGROTESQUE_ BODY_ ACNE_ ALIENATION_ AND AESTHETICS IN BUKOWSKI_S HAM ON RYE.pdf,10-THE _DERMOGROTESQUE_ BODY_ ACNE_ ALIENATION_ AND AESTHETICS IN BUKOWSKI_S HAM ON RYE,UNKNOWN,2.8084170886937834
10-When the queen of transvestites revealed it all_ Performative politics of queer life writing i.pdf,10-When the queen of transvestites revealed it all_ Performative politics of queer life writing i,UNKNOWN,2.178836169026555
11-A Possible Way Out_ The Paradox of the Multitude in Cloud Atlas and Slade House.pdf,11-A Possible Way Out_ The Paradox of the Multitude in Cloud Atlas and Slade House,UNKNOWN,1.8755974694593605
11-Cybernetics_ or the metatechnology of a machine.pdf,11-Cybernetics_ or the metatechnology of a machine,UNKNOWN,2.793618274411985
11-Oceans_ hormones and female flow in Twelfth Night.pdf,11-Oceans_ hormones and female flow in Twelfth Night,UNKNOWN,0.4246343286954762
11-Orality and the subaltern_ Anticolonial resistance in Rosario Cruz-Lucero_s Feast and Famine_ .pdf,11-Orality and the subaltern_ Anticolonial resistance in Rosario Cruz-Lucero_s Feast and Famine_ ,UNKNOWN,1.6368677629700736
11-Relational Time_ Female Transgenerational Bonds and Herstory in Linda Grant_s The Story of the.pdf,11-Relational Time_ Female Transgenerational Bonds and Herstory in Linda Grant_s The Story of the,UNKNOWN,2.508785015705622
12-H_seyin Rahmi_s queer hauntology_ _Un-_making of the secular nation_state_self.pdf,12-H_seyin Rahmi_s queer hauntology_ _Un-_making of the secular nation_state_self,UNKNOWN,2.641106178992494
12-Membrane_ a poetics of the border.pdf,12-Membrane_ a poetics of the border,UNKNOWN,2.5831504576710147
12-Promised lands and paradisiacal gardens in Zo_ Wicomb_s David_s Story.pdf,12-Promised lands and paradisiacal gardens in Zo_ Wicomb_s David_s Story,UNKNOWN,2.3208778166068615
12-The Oracle_ the Plague_ and the Mystery of Oedipus_ Identity in Natalie Haynes_ The Children o.pdf,12-The Oracle_ the Plague_ and the Mystery of Oedipus_ Identity in Natalie Haynes_ The Children o,UNKNOWN,1.7026737966563477
12-Ways of Being Male_ Masculinities as Allegories in Yu Hua_s Brothers.pdf,12-Ways of Being Male_ Masculinities as Allegories in Yu Hua_s Brothers,UNKNOWN,2.4643578155748287
13-Caste and internal labour migrations_ Exploring subaltern social geographies in Aravind Adiga_.pdf,13-Caste and internal labour migrations_ Exploring subaltern social geographies in Aravind Adiga_,UNKNOWN,2.929646338648191
13-Dangerous bodies_ a corrupted tongue_ tracing the queer Persianate in late Ottoman literature.pdf,13-Dangerous bodies_ a corrupted tongue_ tracing the queer Persianate in late Ottoman literature,UNKNOWN,1.5554976211887808
13-The Tragedy of Alignment_ Machinic Consistency and the Failure of Human Relations in Ian McEwa.pdf,13-The Tragedy of Alignment_ Machinic Consistency and the Failure of Human Relations in Ian McEwa,UNKNOWN,3.659705545276605
13-The Workings of Affect in Lucy Caldwell_s Where They Were Missed.pdf,13-The Workings of Affect in Lucy Caldwell_s Where They Were Missed,UNKNOWN,2.844608742282264
13-_The Ralahine way__ the rural commune in the writings of Irish radical W.P. Ryan.pdf,13-_The Ralahine way__ the rural commune in the writings of Irish radical W.P. Ryan,UNKNOWN,2.267016693482508
14-Against straight-forwardness_ Literary twists and queer communality in Shani Mootoo_s Moving F.pdf,14-Against straight-forwardness_ Literary twists and queer communality in Shani Mootoo_s Moving F,UNKNOWN,2.493867454784922
14-From Postcolonialism to Cosmopolitanism_ Reading Timothy Mo_s Thematic Shift and Its Resonance.pdf,14-From Postcolonialism to Cosmopolitanism_ Reading Timothy Mo_s Thematic Shift and Its Resonance,UNKNOWN,2.2236246820448233
14-Narrating Panarchy in the Anthropocene_ The Adaptive _Short Story_ Cycle in Rebecca Campbell_s.pdf,14-Narrating Panarchy in the Anthropocene_ The Adaptive _Short Story_ Cycle in Rebecca Campbell_s,UNKNOWN,2.271287205548329
14-Reading for the future_ _stanbul Ansiklopedisi_ a collection without origin.pdf,14-Reading for the future_ _stanbul Ansiklopedisi_ a collection without origin,UNKNOWN,2.1757901466972283
14-_THIS IS A PAID ADVERTISEMENT__ advertising poetics in Yugen.pdf,14-_THIS IS A PAID ADVERTISEMENT__ advertising poetics in Yugen,UNKNOWN,2.109812740560965
15-Bald krumme Linien_ generative aesthetics and the Bensian legacy.pdf,15-Bald krumme Linien_ generative aesthetics and the Bensian legacy,UNKNOWN,1.6671767574314345
15-Fiction_s critique_ Gray_s Poor Things and the conduct of sensibility.pdf,15-Fiction_s critique_ Gray_s Poor Things and the conduct of sensibility,UNKNOWN,2.318490121592468
15-Religious Hypocrisy and Moral Failure in James Baldwin_s Go Tell It on the Mountain and Khaled.pdf,15-Religious Hypocrisy and Moral Failure in James Baldwin_s Go Tell It on the Mountain and Khaled,UNKNOWN,2.768754954277003
15-Writing and translating across power differentials_ Paratextual _re_framing of three Chinese d.pdf,15-Writing and translating across power differentials_ Paratextual _re_framing of three Chinese d,UNKNOWN,3.2977743606970646
15-_Aiding the Greek Rebel Infidels__ Insights from the Ottoman Archives on Lord Byron_s Missolon.pdf,15-_Aiding the Greek Rebel Infidels__ Insights from the Ottoman Archives on Lord Byron_s Missolon,UNKNOWN,1.4153372993928048
16-Information poetics_ communication and combinatorics in concrete poetry.pdf,16-Information poetics_ communication and combinatorics in concrete poetry,UNKNOWN,2.1631054943511008
16-The hopeful possibilities of _sideways_ time_ Louise Erdrich_s Future Home of the Living God.pdf,16-The hopeful possibilities of _sideways_ time_ Louise Erdrich_s Future Home of the Living God,UNKNOWN,2.3793191093305124
16-Tom McCarthy_ The Making of Incarnation_ and the Infrastructure of Virtuality.pdf,16-Tom McCarthy_ The Making of Incarnation_ and the Infrastructure of Virtuality,UNKNOWN,2.27161870453303
16-Untwining the Threads in John Banville_s Birchwood_ False Shadows_ Bogus Plots and What Lies B.pdf,16-Untwining the Threads in John Banville_s Birchwood_ False Shadows_ Bogus Plots and What Lies B,UNKNOWN,3.1309857507451904
16-Women petrified_ how and when women turn to stone from Shakespeare to Byatt.pdf,16-Women petrified_ how and when women turn to stone from Shakespeare to Byatt,UNKNOWN,0.10073497152367009
17-Care_ critique_ and contemporary literature_ the offerings of Sarah Moss_s Tidal Zone.pdf,17-Care_ critique_ and contemporary literature_ the offerings of Sarah Moss_s Tidal Zone,UNKNOWN,2.9278099317438744
17-Entropy_ melody_ beauty_ composing with information theory.pdf,17-Entropy_ melody_ beauty_ composing with information theory,UNKNOWN,2.495976349558752
17-The Self and Its Social_Ecological Other in E. M. Forster_s Howards End_ An Allergic Reading.pdf,17-The Self and Its Social_Ecological Other in E. M. Forster_s Howards End_ An Allergic Reading,UNKNOWN,2.0491050909313957
17-_We_re Still Inside the Fucking paradigm___ Flagging the Crisis of Attention in Eleanor Catton.pdf,17-_We_re Still Inside the Fucking paradigm___ Flagging the Crisis of Attention in Eleanor Catton,UNKNOWN,2.531606338580321
18-A site for self-fashioning_ everyday life_ expatriate women_ and formative locale in Ann Bridg.pdf,18-A site for self-fashioning_ everyday life_ expatriate women_ and formative locale in Ann Bridg,UNKNOWN,2.4477810772523627
18-Monstrous Reproduction_ Monstrous Evolution_ and Extinction Anxiety in Steve Alten_s MEG Books.pdf,18-Monstrous Reproduction_ Monstrous Evolution_ and Extinction Anxiety in Steve Alten_s MEG Books,UNKNOWN,2.357607555848988
18-New Evidence About The Strolling Actor George Jolly _1613_ca. 1683_.pdf,18-New Evidence About The Strolling Actor George Jolly _1613_ca. 1683_,UNKNOWN,0.18233120041555534
19-Disneyland and Its Discontents_ J.G. Ballard and the Commodification of Dissent.pdf,19-Disneyland and Its Discontents_ J.G. Ballard and the Commodification of Dissent,UNKNOWN,2.649060924280748
19-Revisiting OE holm-wudu in The Dream of the Rood_ The Salvific Ship and the Name of Mary.pdf,19-Revisiting OE holm-wudu in The Dream of the Rood_ The Salvific Ship and the Name of Mary,UNKNOWN,1.865925911485527
19-_Words without meaning__ deconstructing language and the Woolfian Saying in Between the Acts.pdf,19-_Words without meaning__ deconstructing language and the Woolfian Saying in Between the Acts,UNKNOWN,2.7929533663327804
20-Echoes of Silence and the Story of Many_ The Transmission of Intergenerational Trauma in Eliza.pdf,20-Echoes of Silence and the Story of Many_ The Transmission of Intergenerational Trauma in Eliza,UNKNOWN,0.09440348339640464
20-Metabolic Dystopia in Mo Yan_s The Republic of Wine.pdf,20-Metabolic Dystopia in Mo Yan_s The Republic of Wine,UNKNOWN,2.09318491659918
20-Reimagining refuge_ dual landscapes and the covert narrative of ecological belonging in Terry .pdf,20-Reimagining refuge_ dual landscapes and the covert narrative of ecological belonging in Terry ,UNKNOWN,2.907076879687315
21-Haunted Laughter_ Spectral Justice and Satirical Memory in Percival Everett_s The Trees.pdf,21-Haunted Laughter_ Spectral Justice and Satirical Memory in Percival Everett_s The Trees,UNKNOWN,2.5441900012451817
21-The Revitalized Tudor and Chiron Myths in the Henriad_ Reviewing Shakespeare as a Historiograp.pdf,21-The Revitalized Tudor and Chiron Myths in the Henriad_ Reviewing Shakespeare as a Historiograp,UNKNOWN,2.40330857811589
21-To body or not to body__ Gender performativity and posthumanism in the actor-network of Jeanet.pdf,21-To body or not to body__ Gender performativity and posthumanism in the actor-network of Jeanet,UNKNOWN,2.29766737614986
22-Civilizationism_ Secularism_ and Irony in Patience Agbabi_s _Joined-Up Writing_.pdf,22-Civilizationism_ Secularism_ and Irony in Patience Agbabi_s _Joined-Up Writing_,UNKNOWN,1.9478945849621971
22-Navigating neurotechnology and astrobiology in Richard Powers_s Bewilderment.pdf,22-Navigating neurotechnology and astrobiology in Richard Powers_s Bewilderment,UNKNOWN,0.1744702618742504
22-The significance of Osip Mandelstam for Paul Celan.pdf,22-The significance of Osip Mandelstam for Paul Celan,UNKNOWN,0.521182096878694
23-Empathy_ curiosity_ and critique_ an AI-assisted mapping of non-academic reception of Asian Am.pdf,23-Empathy_ curiosity_ and critique_ an AI-assisted mapping of non-academic reception of Asian Am,UNKNOWN,1.6964892009819654
23-Practical Alienation_ George Eliot_s Philosophical Experiments in Silas Marner _1861_.pdf,23-Practical Alienation_ George Eliot_s Philosophical Experiments in Silas Marner _1861_,UNKNOWN,1.790343876187255
23-Scalar Anglosphere_ Wasteocene Waters and Vulnerable Bodies in Chioma Okereke_s Water Baby.pdf,23-Scalar Anglosphere_ Wasteocene Waters and Vulnerable Bodies in Chioma Okereke_s Water Baby,UNKNOWN,2.196568440576142
24-Revisiting Soft Power Through the Translation of Chinese Science Fiction_ A Non-Confrontationa.pdf,24-Revisiting Soft Power Through the Translation of Chinese Science Fiction_ A Non-Confrontationa,UNKNOWN,2.390945284322346
24-Staging the state of exception_ William le Queux and the campaign for emergency powers in Brit.pdf,24-Staging the state of exception_ William le Queux and the campaign for emergency powers in Brit,UNKNOWN,2.1684193135462455
24-The Mother-Daughter Plot in Toni Morrison_s God Help the Child.pdf,24-The Mother-Daughter Plot in Toni Morrison_s God Help the Child,UNKNOWN,2.7708053769025605
25-Forgetting to remember_ Amnesia as Metaphor in Chinese North American Literature.pdf,25-Forgetting to remember_ Amnesia as Metaphor in Chinese North American Literature,UNKNOWN,2.1770511777030173
25-Special Worlds_ Pastoral Elegy in Stephen Sexton_s If All the World and Love Were Young.pdf,25-Special Worlds_ Pastoral Elegy in Stephen Sexton_s If All the World and Love Were Young,UNKNOWN,3.9398177256235445
25-Surviving marriage narratively. Storytelling through women_s friendships in Mary McCarthy_s Th.pdf,25-Surviving marriage narratively. Storytelling through women_s friendships in Mary McCarthy_s Th,UNKNOWN,2.8118173153917194
26-Event_ Catastrophe and Crisis in Don DeLillo_s The Silence_ _The Wrong Kind of Normal_.pdf,26-Event_ Catastrophe and Crisis in Don DeLillo_s The Silence_ _The Wrong Kind of Normal_,UNKNOWN,2.6497668346632315
26-Paratextual Mediation and Narrative Reconstruction_ An Analysis of Footnotes in Sydney Owenson.pdf,26-Paratextual Mediation and Narrative Reconstruction_ An Analysis of Footnotes in Sydney Owenson,UNKNOWN,1.8195058001626871
26-Wilde avec Foucault_ technologies of the self in Epistola.pdf,26-Wilde avec Foucault_ technologies of the self in Epistola,UNKNOWN,1.9884771144184883
27-Understanding Russell Atkins_s Poetry through His Plays.pdf,27-Understanding Russell Atkins_s Poetry through His Plays,UNKNOWN,3.0948567180313757
27-Why Britain Chooses Brexit_ Post-Imperial Affects in Julian Barnes_ Fiction and Brexlits.pdf,27-Why Britain Chooses Brexit_ Post-Imperial Affects in Julian Barnes_ Fiction and Brexlits,UNKNOWN,2.483119419613681
27-_Sweet Mephistopheles_ tell me__ desire between the scholar and the devil in Christopher Marlo.pdf,27-_Sweet Mephistopheles_ tell me__ desire between the scholar and the devil in Christopher Marlo,UNKNOWN,2.6784633245464016
28-The Sandcastle_ _investiture of freedom_ in Levinas and disciplined freedom in Murdoch.pdf,28-The Sandcastle_ _investiture of freedom_ in Levinas and disciplined freedom in Murdoch,UNKNOWN,2.7047689566551343
28-_We_re All Just Playing into Stories Created Before Our Time__ Fictional Female Serial Killers.pdf,28-_We_re All Just Playing into Stories Created Before Our Time__ Fictional Female Serial Killers,UNKNOWN,2.2201288416410945
28-__It_s Growl You May_ But go You Must__ The Untapped Potential of the Sailor_s Chantey_.pdf,28-__It_s Growl You May_ But go You Must__ The Untapped Potential of the Sailor_s Chantey_,UNKNOWN,1.7972962968414572
29-Anthropomorphism in Professional Crocodile and Agamben_s _man-animal_.pdf,29-Anthropomorphism in Professional Crocodile and Agamben_s _man-animal_,UNKNOWN,2.379504855169429
29-Lateral Composition and Posthuman Community in Kazuo Ishiguro_s Klara and the Sun.pdf,29-Lateral Composition and Posthuman Community in Kazuo Ishiguro_s Klara and the Sun,UNKNOWN,2.386177415472277
29-_By Any Means Necessary__ Corporate Capitalism and Pathological Narcissism in Gary Shteyngart_.pdf,29-_By Any Means Necessary__ Corporate Capitalism and Pathological Narcissism in Gary Shteyngart_,UNKNOWN,2.380517639733569
